"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000128564",58.2757813738578,4.21437803286701,0.869643046684702,4.84610099388856,1.25911438164349e-06,0.000317257476849732
"ENSG00000272196",296.350860634659,-3.3320872314811,0.688724897133248,-4.83805253062667,1.31117492180494e-06,0.000320363739227675
"ENSG00000161011",168.772895301633,2.69556575026402,0.558793657658972,4.82390183445694,1.40776723145187e-06,0.000333847858446954
"ENSG00000275714",19.8920182454339,-8.17946926309775,1.69911180551242,-4.81396764860389,1.47962771310835e-06,0.000340863950022646
"ENSG00000278272",63.292237019282,-3.79954009920139,0.799530511533411,-4.75221401108794,2.01201242980365e-06,0.000450634895041856
"ENSG00000185130",47.4257490036937,-4.73323301943714,1.00569736472852,-4.7064188347703,2.5210629309267e-06,0.000549387308434107
"ENSG00000103257",66.8976767772284,3.77810938406359,0.805072785315219,4.69287926877854,2.69386483478413e-06,0.000571595583233275
"ENSG00000112715",57.6344957225324,3.28860939254794,0.706710220376564,4.65340573509131,3.26496899673295e-06,0.000675011410786098
"ENSG00000197153",68.364850809646,-3.93250022056992,0.850970747226407,-4.62119318835251,3.81539272697121e-06,0.000769087788939221
"ENSG00000278588",73.2664130217831,-4.09355488880052,0.889420914861939,-4.60249452244548,4.17460545705459e-06,0.000820971800005638
"ENSG00000155090",34.5378816022072,3.57728335426639,0.778575855887903,4.59464974056611,4.33476758834574e-06,0.000832172168210279
"ENSG00000116717",75.0139803795123,3.26017502908567,0.713967676471308,4.56627818950944,4.96459830438492e-06,0.000930919909959433
"ENSG00000106665",171.350953634653,2.48275399910577,0.544312852200439,4.5612628639375,5.08468784241778e-06,0.000931769047123058
"ENSG00000273542",181.92333260499,-2.89126365616653,0.636646581499245,-4.54139508510022,5.58831940425488e-06,0.00100130265236682
"ENSG00000277775",146.810438163944,-3.16020336431456,0.711956376684297,-4.43875982828072,9.04787111525744e-06,0.00158593445222436
"ENSG00000180573",102.499780268443,-2.56963584943685,0.588733672282701,-4.36468299744702,1.27307238044949e-05,0.00215432644680872
"ENSG00000274750",74.4110693258747,-3.10469222063866,0.711584251646411,-4.36307044943063,1.28249621042811e-05,0.00215432644680872
"ENSG00000176697",25.6930765739267,4.27828416577539,0.988687078450866,4.32723786830395,1.50990874045028e-05,0.00248457023964297
"ENSG00000181222",129.153652926701,2.18464638636443,0.506889531557036,4.30990630178089,1.63323730782047e-05,0.00263375848259128
"ENSG00000276410",40.2508535501061,-4.68295604803793,1.09309050426178,-4.28414301448951,1.83444890898102e-05,0.00290022775551255
"ENSG00000124575",135.691833170282,-3.16900978799388,0.744707175773635,-4.25537700063353,2.0869706794813e-05,0.00323600857474187
"ENSG00000278705",73.0727982178013,-3.08239415610476,0.725099685207149,-4.25099364816876,2.12824204482577e-05,0.00323773879385475
"ENSG00000108984",24.0162441793333,-4.08825549031002,0.968847341570257,-4.21971069630432,2.4461601830729e-05,0.00365247954742903
"ENSG00000196747",120.846067103262,-3.1045271445758,0.738527761876934,-4.20367020013681,2.62621509488182e-05,0.00385003132909675
"ENSG00000099194",1300.28699764615,1.96417648399502,0.470472623847909,4.17490069439192,2.98116068224915e-05,0.00429233903231695
"ENSG00000203668",39.9347899959182,-3.02750743332973,0.728266638200672,-4.15714145688424,3.22254468477319e-05,0.00455848733216249
"ENSG00000198576",20.7770470049206,4.80990772500141,1.16781777036047,4.118714278099,3.80992192877196e-05,0.00524265597914193
"ENSG00000175197",70.7132916824197,2.65047343357659,0.643767725774471,4.11712691932171,3.83624832902609e-05,0.00524265597914193
"ENSG00000124635",114.286603613253,-3.20105911594419,0.782392412691485,-4.09137290190778,4.28826945515257e-05,0.00576271943614919
"ENSG00000275126",21.3997379947757,-4.19352890417425,1.02657653462122,-4.0849646984397,4.40835182108308e-05,0.00582697389072014
"ENSG00000088826",20.3261205892416,4.59784120376612,1.13379878992388,4.05525322890387,5.00800186597317e-05,0.00645301099659092
"ENSG00000140105",101.290874189864,2.24676429324443,0.554254411037192,4.05366966595719,5.04204009407451e-05,0.00645301099659092
"ENSG00000090520",78.918161937275,2.26303208591389,0.563852985657099,4.01351441506798,5.98213474630916e-05,0.00753655507179543
"ENSG00000182199",151.475303066171,2.25050545571939,0.561624973434943,4.0071320937798,6.14604930004226e-05,0.00762393777019088
"ENSG00000204388",88.6559699580382,3.42368504348925,0.855859766117897,4.00028740574964,6.32656007162497e-05,0.00768687059321782
"ENSG00000278828",86.4926064718819,-2.5883198088789,0.647484875400285,-3.9974984856268,6.401540044037e-05,0.00768687059321782
"ENSG00000112245",210.385623827816,1.8896487163242,0.473061323935361,3.9945111145514,6.48278804835436e-05,0.00768687059321782
"ENSG00000144674",158.018730552715,2.29924446528473,0.579807431952335,3.965531206702,7.32326698441696e-05,0.00855760894135565
"ENSG00000203814",68.5252014362157,-3.21316892209319,0.811327271856565,-3.96038569582467,7.48288046584599e-05,0.00861920931373089
"ENSG00000167552",1227.28771461101,-1.91678061238321,0.485014119723264,-3.95200991978723,7.74975272839265e-05,0.0088008811618352
"ENSG00000275379",40.1638071484588,-2.64274884007283,0.669450826809979,-3.94763697980011,7.89263609118721e-05,0.00883865622267257
"ENSG00000184678",55.280792776132,-2.74953475309619,0.698169038901931,-3.93820779767119,8.20924867099585e-05,0.00906728384030679
"ENSG00000197061",125.306592007205,-2.46238789914462,0.640859859117738,-3.84231882230001,0.000121877376109755,0.0132796930212562
"ENSG00000184270",43.2191514836764,-3.25349997746637,0.847649825172204,-3.83825948032892,0.000123909504815237,0.0133210978310034
"ENSG00000129128",190.075914521324,-2.04219406099771,0.532786323463985,-3.83304520228691,0.000126566685476131,0.0134277261183427
"ENSG00000169710",197.460269520419,2.30271872290781,0.603816995314636,3.81360369246963,0.000136955024447103,0.014341147559961
"ENSG00000107554",65.4087077397891,2.45970360308812,0.648628374054895,3.79216158508655,0.000149341686290614,0.0154377181610413
"ENSG00000175866",29.0809639372886,3.47526418721107,0.920277518562355,3.77632194323304,0.000159161244015005,0.0162445203859872
"ENSG00000087086",214.932343586407,1.85461245156909,0.493802056291835,3.75578114335154,0.000172801653947229,0.0174162466972063
"ENSG00000172201",143.935865307963,-2.17315739266957,0.580146831861353,-3.74587479120963,0.000179766241059852,0.0178945086625381
"ENSG00000011243",38.1529369277291,2.80247569717972,0.750719782880422,3.73305161404827,0.000189173810334786,0.0186013223503583
"ENSG00000099860",16.8707803484881,5.03434588538967,1.35286606019232,3.72124486933615,0.000198243089164334,0.0192582413003858
"ENSG00000006652",70.1216842173644,2.09937155335626,0.570595071908966,3.67926688594185,0.000233905386717906,0.0223980930825148
"ENSG00000230043",114.565521739837,-2.09153766080026,0.569266570565298,-3.67409183842168,0.000238696873951607,0.0223980930825148
"ENSG00000265972",44.7897766192926,-2.30058337813818,0.626200510621457,-3.67387656048862,0.000238898177489305,0.0223980930825148
"ENSG00000103512",112.485908818083,1.97430439220441,0.538804634092683,3.66423053418802,0.000248083265688154,0.0229919008188918
"ENSG00000171951",234.773943618199,2.3821106944273,0.650649157460338,3.66112930004448,0.000251105985291351,0.02300758590232
"ENSG00000272325",133.296593991628,-1.82208955002651,0.498771842672241,-3.65315239181188,0.000259040387763428,0.0234678949049047
"ENSG00000059804",129.52926744901,1.91808347725898,0.525960838530966,3.64681804564819,0.000265507793609653,0.0237865482208293
"ENSG00000275713",75.4631541849394,-2.92188603693755,0.803228245499418,-3.637678397528,0.000275106635455216,0.0243756571612682
"ENSG00000255302",105.535668229387,-2.02755496885054,0.558278715681569,-3.63179700729808,0.000281454481889291,0.024667037907319
