"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000168542",130.379568429787,-10.0682801483265,1.6900671774342,-5.95732541449139,2.56399382977817e-09,6.79359749743915e-07
"ENSG00000199202",80.3185541449327,3.47454561833508,0.595929010362472,5.83046899532831,5.52718082981654e-09,1.4368584428908e-06
"ENSG00000272507",420.269113599017,2.92229180021765,0.503005444533778,5.80966236444268,6.25989585080568e-09,1.59720083393335e-06
"ENSG00000212308",186.221649535057,3.45402746644536,0.595704859386099,5.79821939005987,6.70227348984172e-09,1.67898043896435e-06
"ENSG00000270605",175.81486403821,2.95644091314017,0.511257265514996,5.7826873328873,7.35166284435019e-09,1.80877161909744e-06
"ENSG00000154678",44.7970660086551,4.42181347707109,0.766605744474888,5.76804114623477,8.0198228039183e-09,1.93854594021731e-06
"ENSG00000200169",251.929548738902,3.96050417772863,0.690584847136313,5.73500011497772,9.75122799640055e-09,2.31642102300701e-06
"ENSG00000253488",19.4201718570541,4.72110250115932,0.825793038153514,5.71705292129342,1.08387369272412e-08,2.53112063361914e-06
"ENSG00000178971",1225.07931950319,2.19358315611792,0.384840756303648,5.69997621142584,1.19824147551059e-08,2.70732818029813e-06
"ENSG00000164692",51.6566844756351,-7.76320757606373,1.3619850764425,-5.69992117413005,1.19862838581932e-08,2.70732818029813e-06
"ENSG00000200473",89.8856700002696,2.61538067444179,0.460767262192464,5.67614257574865,1.37765967201314e-08,3.06151531628984e-06
"ENSG00000210140",836.40370967911,2.60541636645693,0.45976019703711,5.66690284032272,1.45401735005533e-08,3.17991286493054e-06
"ENSG00000137142",18.2358553761916,4.59488278705736,0.812055588284839,5.65833528313291,1.52848313309389e-08,3.24563723317221e-06
"ENSG00000235989",1238.42915056669,10.3439875750311,1.82819521305897,5.65803230483431,1.53118319172735e-08,3.24563723317221e-06
"ENSG00000187955",51.9744179572186,2.80016184586281,0.497325609211398,5.63043968377777,1.79750794907372e-08,3.75243401853603e-06
"ENSG00000219438",14.1070740143505,7.72839929950321,1.37795948430477,5.60858239123225,2.03990582054072e-08,4.14639532932281e-06
"ENSG00000135318",49.585340931057,3.52749064327105,0.629006979402213,5.60803100567097,2.04641372037996e-08,4.14639532932281e-06
"ENSG00000244642",72.1233334519916,2.58100972079797,0.462481133138886,5.58078921680655,2.39429661881818e-08,4.78095924841693e-06
"ENSG00000117724",212.987865920163,-2.39658107300948,0.432363550123631,-5.54297667396847,2.97372489210077e-08,5.81756685797815e-06
"ENSG00000199357",44.6253856669132,3.31135178260232,0.597596324012821,5.54111805836891,3.00546499868393e-08,5.81756685797815e-06
"ENSG00000281383",94660.0178504022,-1.82935762475012,0.330261918787865,-5.53911159804396,3.04009880805942e-08,5.81756685797815e-06
"ENSG00000171475",158.568382922705,2.49089807821714,0.452146522822388,5.50905061188675,3.60774174630237e-08,6.75384491039202e-06
"ENSG00000164300",28.7671575319968,3.15554226660623,0.572891933336091,5.50809338199393,3.62740980816526e-08,6.75384491039202e-06
"ENSG00000201041",584.952711088455,2.31218676097372,0.420274726357208,5.50160791493443,3.76343148372467e-08,6.91367453103447e-06
"ENSG00000222465",58.360341056941,3.33093422575042,0.60819532030534,5.47675083076625,4.33206544432869e-08,7.85357864367904e-06
"ENSG00000212251",26.9670116327635,4.40916008824101,0.807384140211355,5.46104371964353,4.7334345186825e-08,8.46977412966332e-06
"ENSG00000201715",81.8540289828372,2.50776945045153,0.459604582453135,5.45636302637875,4.85985843240625e-08,8.58450377970428e-06
"ENSG00000202503",426.600691661953,2.3885619841102,0.44097721780358,5.4165201458868,6.07701463095514e-08,1.05986212133291e-05
"ENSG00000202248",41.2205654322231,2.73772240160336,0.508314878092908,5.38587894943135,7.20914717630327e-08,1.23407953132044e-05
"ENSG00000239224",21.145035565058,3.88802295008283,0.722133765351621,5.38407582726682,7.28178037835497e-08,1.23407953132044e-05
"ENSG00000199377",366.53423095547,2.61955913617429,0.486678108383537,5.38252921397051,7.34464520019421e-08,1.23407953132044e-05
"ENSG00000170915",36.4224344872553,2.85935494878137,0.532060473009313,5.3741164657637,7.69591045743205e-08,1.27752113593372e-05
"ENSG00000202198",22025.2074520572,2.46692295539848,0.4605615690014,5.35633696217277,8.49260615446478e-08,1.39298961424066e-05
"ENSG00000239396",18.4582197924529,4.39729557836922,0.821554393651551,5.35240954506327,8.67906912879488e-08,1.40682605242983e-05
"ENSG00000222640",30.9599628216243,3.60547777560773,0.674197956898669,5.34780288002212,8.90283487990374e-08,1.42631696482923e-05
"ENSG00000117152",27.5431102288913,3.72309163459645,0.702722140137902,5.29809923715487,1.17014369679043e-07,1.85313101774467e-05
"ENSG00000109861",45.2166560768207,4.24322083202689,0.801892866427113,5.29150589770532,1.21313277628834e-07,1.89123407323929e-05
"ENSG00000264916",91.0146478631487,2.49696504172044,0.471995956602315,5.29022549196176,1.22165649962474e-07,1.89123407323929e-05
"ENSG00000026508",75.7473692674018,3.14575110472518,0.597134612542498,5.26807697736881,1.37860300004751e-07,2.11048801496162e-05
"ENSG00000138722",11.7092154306185,7.44081241282131,1.42132915705139,5.23510854322979,1.6488793545548e-07,2.49651206011605e-05
"ENSG00000207296",30.2184661718065,3.17715718268546,0.607217179986071,5.23232426124429,1.67391771730723e-07,2.50687372924555e-05
"ENSG00000151952",16.0466358034419,5.0957714332547,0.976093550938746,5.22057688871512,1.78366632919916e-07,2.64251125631247e-05
"ENSG00000197180",19.9531756587436,4.02853890701996,0.772919963210613,5.21210357963314,1.86711244479657e-07,2.7367101345114e-05
"ENSG00000201594",207.75776333233,2.05117576237296,0.393713296750292,5.20982090090265,1.89023008282045e-07,2.74143053485265e-05
